"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","featured","magesms_optout","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","97,98,147","BP_101","0","Parle Chocolate Chip Cookies - Hide & Seek, 33 gm Pouch","","","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek.jpg","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek.jpg","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek.jpg","parle-chocolate-chip-cookies-hide-seek-33-gm-pouch","parle-chocolate-chip-cookies-hide-seek-33-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","10.0000","","0.0330","","Enabled","No","Catalog, Search","None","Yes","1","Hide & Seek Chocolate Chip Cookies are the most popular molded chocolate chip cookie in the world. Each cookie is filled with decadent chocolate flavor. Hide & Seek Chocolate Chip Cookies are packed with delicious chocos which are not hidden in real and gets melted soon after you eating in your mouth.
( Per 100 g) Calories 48 Sodium 0 mg Total Fat 18 g Potassium 0 mg Saturated 0 g Total Carbs 74 g Polyunsaturated 0 g Dietary Fiber 0 g Monounsaturated 0 g Sugars 32 g Trans 0 g Protein 6 g Cholesterol 0 mg","Hide & Seek Chocolate Chip Cookies are the most popular molded chocolate chip cookie in the world. Each cookie is filled with decadent chocolate flavor. Hide & Seek Chocolate Chip Cookies are packed with delicious chocos which are not hidden in real and gets melted soon after you eating in your mouth.","Chocolate
Chips
Cookies
Hide & Seek
Biscuits
Parle
","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Parle Chocolate Chip Cookies - Hide & Seek, 33 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BP_102","0","Parle Chocolate Chip Cookies - Hide & Seek, 120 gm Pouch","","","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek_1.jpg","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek_1.jpg","/3/0/302102_3-parle-chocolate-chip-cookies-hide-seek_1.jpg","parle-chocolate-chip-cookies-hide-seek-120-gm-pouch","parle-chocolate-chip-cookies-hide-seek-120-gm-pouch.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","25.0000","","0.1200","","Enabled","No","Catalog, Search","None","No","1","Hide & Seek Chocolate Chip Cookies are the most popular molded chocolate chip cookie in the world. Each cookie is filled with decadent chocolate flavor. Hide & Seek Chocolate Chip Cookies are packed with delicious chocos which are not hidden in real and gets melted soon after you eating in your mouth.
( Per 100 g) Calories 48 Sodium 0 mg Total Fat 18 g Potassium 0 mg Saturated 0 g Total Carbs 74 g Polyunsaturated 0 g Dietary Fiber 0 g Monounsaturated 0 g Sugars 32 g Trans 0 g Protein 6 g Cholesterol 0 mg","Hide & Seek Chocolate Chip Cookies are the most popular molded chocolate chip cookie in the world. Each cookie is filled with decadent chocolate flavor. Hide & Seek Chocolate Chip Cookies are packed with delicious chocos which are not hidden in real and gets melted soon after you eating in your mouth.","chocolate
chips
cookies
hide & seek
Biscuits
parle","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Parle Chocolate Chip Cookies - Hide & Seek, 120 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BP_201","0","Parle Cookies - Hide & Seek (Caffe Mocha), 120 gm Pouch","","","/1/0/100145877_2-parle-cookies-hide-seek-caffe-mocha.jpg","/1/0/100145877_2-parle-cookies-hide-seek-caffe-mocha.jpg","/1/0/100145877_2-parle-cookies-hide-seek-caffe-mocha.jpg","parle-cookies-hide-seek-caffe-mocha-120-gm-pouch","parle-cookies-hide-seek-caffe-mocha-120-gm-pouch.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","30.0000","","0.1200","","Enabled","No","Catalog, Search","None","No","1","Parle Hide and Seek Caffe Mocha biscuits are crispy, sweet and good in taste. Play a game of hide and seek with your taste buds. Feel the extremely delectable taste of Chocolates, comes in a form of choco chips, covering the entire parts of the Parle Hide & Seek Cream biscuits.

For all coffee and chocolate lovers, this biscuit is a dream come true! Revel in the heavenly aroma of coffee and enjoy the sweetness of chocolates as well! Packed with a bounty of chocolate chips, once you try Parle Hide & Seek, you will never want any other biscuit again. It is a treat for the mouth and the heart - khate hi dil aa jaye! Buy Parle biscuit online now!

(Per 55 g) Calories 270 Sodium 65 mg Total Fat 10 g Potassium 0 mg Saturated 5 g Total Carbs 41 g Polyunsaturated 0 g Dietary Fiber 0 g Monounsaturated 0 g Sugars 17 g Trans 0 g Protein 3 g Cholesterol 0 mg","Parle Hide and Seek Caffe Mocha biscuits are crispy, sweet and good in taste. Play a game of hide and seek with your taste buds. Feel the extremely delectable taste of Chocolates, comes in a form of choco chips, covering the entire parts of the Parle Hide & Seek Cream biscuits.

For all coffee and chocolate lovers, this biscuit is a dream come true! Revel in the heavenly aroma of coffee and enjoy the sweetness of chocolates as well! Packed with a bounty of chocolate chips, once you try Parle Hide & Seek, you will never want any other biscuit again. It is a treat for the mouth and the heart - khate hi dil aa jaye! Buy Parle biscuit online now!","Cookies
Hide & Seek
Cafee 
Mocha
Biscuits
Parle","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Parle Cookies - Hide & Seek (Caffe Mocha), 120 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_101","0","Britannia Tiger Cookies- Krunch Choco Chips, 40 gm Pouch","Tiger Cookies- Krunch Choco Chips, 40 gm Pouch (Default)","","","","","tiger-cookies-krunch-choco-chips-40-gm-pouch","tiger-cookies-krunch-choco-chips-40-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","5.0000","","0.0400","","Enabled","No","Catalog, Search","None","No","1","Britannia Tiger Krunch Chocochips is a crispy biscuits with the yummy chocolate chips inside. It gives authentic taste of chocolate with mouth watering flavor.

Refined wheat flour, Sugar, Edible vegetable oil, Choco Chips(8.5%)(Sugar, Edible Vegetable fat, Cocoa solids, Lecithin), Liquid Glucose, Milk Solids(0.25%), Cocoa Solids, Starch, Emulsifiers(322,471,481(ii)), Calcium& Ferrous Salts, Raising Agent[500(ii),503(ii)], Salt, Vitamin and Dough Conditioner(223).","Britannia Tiger Krunch Chocochips is a crispy biscuits with the yummy chocolate chips inside. It gives authentic taste of chocolate with mouth watering flavor.","Tiger
Cookies
Krunch
Crunch
Choco
Chips
Britannia
Biscuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:17:06","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Tiger Cookies- Krunch Choco Chips, 40 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_102","0","Britannia Tiger Cookies - Krunch Chocochips, 70 gm Pouch","Britannia Tiger Cookies - Krunch Chocochips, 70 gm Pouch","","","","","britannia-tiger-cookies-krunch-chocochips-70-gm-pouch","britannia-tiger-cookies-krunch-chocochips-70-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","10.0000","","0.0700","","Enabled","No","Catalog, Search","None","No","1","Britannia India is a popular brand nationwide. A leading manufacturer of biscuits, bread, rusk, cakes and dairy products  And like promised the products of this brand deliver just that. From this healthy brand comes the product Britannia Vita Marie Gold","Britannia India is a popular brand nationwide. A leading manufacturer of biscuits, bread, rusk, cakes and dairy products  And like promised the products of this brand deliver just that. From this healthy brand comes the product Britannia Vita Marie Gold","Britannia
Tiger 
Cookies - 
Krunch 
Choco
chips
Busicuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:27:56","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Tiger Cookies - Krunch Chocochips, 70 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_201","0","Britannia Tiger Biscuits - Krunch Butter, 200 gm Pouch","Britannia Tiger Biscuits - Krunch Butter, 200 gm Pouch","","/4/0/40023493_1-britannia-tiger-biscuits-krunch-butter.jpg","/4/0/40023493_1-britannia-tiger-biscuits-krunch-butter.jpg","/4/0/40023493_1-britannia-tiger-biscuits-krunch-butter.jpg","britannia-tiger-biscuits-krunch-butter-200-gm-pouch","britannia-tiger-biscuits-krunch-butter-200-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","20.0000","","0.2000","","Enabled","No","Catalog, Search","None","No","1","Britannia India is a popular brand nationwide. A leading manufacturer of biscuits, bread, rusk, cakes and dairy products, this brand And like promised the products of this brand deliver just that. From this healthy brand comes the product Britannia Vita Marie Gold.","Britannia India is a popular brand nationwide. A leading manufacturer of biscuits, bread, rusk, cakes and dairy products, this brand And like promised the products of this brand deliver just that. From this healthy brand comes the product Britannia Vita Marie Gold.","Britannia
Tiger 
Biscuits 
Krunch 
Butter
Busicuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:34:22","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Tiger Biscuits - Krunch Butter, 200 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_301","0","Britannia Good Day - Chunkies, 100 gm Carton","Britannia Good Day - Chunkies, 100 gm Carton","","/c/h/chunkies-pack-_1.png","/c/h/chunkies-pack-_1.png","/c/h/chunkies-pack-_1.png","britannia-good-day-chunkies-100-gm-carton","britannia-good-day-chunkies-100-gm-carton.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","50.0000","","0.1000","","Enabled","No","Catalog, Search","None","No","1","Perfect Combination Of Dark And Milk Chocolate Chips. Rich, Chocolaty Dough Baked Until The Chunkie Rises To Perfection","Perfect Combination Of Dark And Milk Chocolate Chips. Rich, Chocolaty Dough Baked Until The Chunkie Rises To Perfection","Britannia 
Good Day
Chunkies
Biscuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:40:07","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Good Day - Chunkies, 100 gm Carton","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_401","0","Britannia Good Day Cookies - Rich Pista Badam, 100 gm Pouch","Britannia Good Day Cookies - Rich Pista Badam, 100 gm Pouch","","/g/o/goodday-pista-n-badam.png","/g/o/goodday-pista-n-badam.png","/g/o/goodday-pista-n-badam.png","britannia-good-day-cookies-rich-pista-badam-100-gm-pouch","britannia-good-day-cookies-rich-pista-badam-100-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","25.0000","","0.1000","","Enabled","No","Catalog, Search","None","No","1","Britannia's Good Day Cookies - Rich Pista Badam are prepared with milk, wheat, almonds, butter, pistachios and cashew. They can be accompanied by tea and coffee or like them by itself.

Wheat Flour, Sugar, Vegetable Oil (Palm Oil), Butter and Skimmed Milk Powder(from Cows and/or Buffalos Milk), Cashews(5.2%), Leavening (Ammonium Bicarbonate (E503), Sodium Bicarbonate (E500), Salt, Emulsifiers (Mono Diglycerides of Vegetable origin (E471), Soya Lecithin (E322), Artificial Flavours (Butter, Vanilla, Nut) and Annatto Extract (E160b).","Britannia's Good Day Cookies - Rich Pista Badam are prepared with milk, wheat, almonds, butter, pistachios and cashew. They can be accompanied by tea and coffee or like them by itself.","Britannia 
Good Day 
Cookies 
Pista 
Badam
Biscuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:44:37","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Good Day Cookies - Rich Pista Badam, 100 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,98,147","BBR_501","0","Britannia Bourbon - The Original Biscuits, 120 gm Pouch","Britannia Bourbon - The Original Biscuits, 120 gm Pouch","","/b/o/bourbon-orgina.png","/b/o/bourbon-orgina.png","/b/o/bourbon-orgina.png","britannia-bourbon-the-original-biscuits-120-gm-pouch","britannia-bourbon-the-original-biscuits-120-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","20.0000","","0.1200","","Enabled","No","Catalog, Search","None","No","1","Britannia Burboun is an original cream biscuit, which is an initiative of the Brittania, a leader in baking goods. Its looks thick, tasty and rich chocolate packed between two crispy chocolate biscuits topped with the sugar crystals

Wheat flour, Sugar(36%), Edible vegetable oil, Milk solids, Cocoa solids, Raising agents [500(I),503(II)], salt and emulsifier (322).","Britannia Burboun is an original cream biscuit, which is an initiative of the Brittania, a leader in baking goods. Its looks thick, tasty and rich chocolate packed between two crispy chocolate biscuits topped with the sugar crystals","Britannia
Bourbon
Biscuits","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:49:42","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Bourbon - The Original Biscuits, 120 gm Pouch","0","simple","",""
"admin","base","Default","simple","6,97,100","BBR_601","0","Britannia Biscuits - Milk Bikis Milk Sandwich, 100 gm Pouch","Britannia Biscuits - Milk Bikis Milk Sandwich, 100 gm Pouch","","/1/0/100012364_2-britannia-biscuits-milk-bikis-milk-sandwich.jpg","/1/0/100012364_2-britannia-biscuits-milk-bikis-milk-sandwich.jpg","/1/0/100012364_2-britannia-biscuits-milk-bikis-milk-sandwich.jpg","britannia-biscuits-milk-bikis-milk-sandwich-100-gm-pouch","britannia-biscuits-milk-bikis-milk-sandwich-100-gm-pouch.html","","No layout updates","Product Info Column","","","","India","Use config","Use config","No","20.0000","","0.1000","","Enabled","No","Catalog, Search","None","No","1","These round biscuits come with smiley faces and are full of milk cream that makes them very accepted with children. Milk Cream also promoted the suggestion of 'eating milk' in a tasty method, which makes mothers happy as well.

Wheat, Milk and skim milk powder.","These round biscuits come with smiley faces and are full of milk cream that makes them very accepted with children. Milk Cream also promoted the suggestion of 'eating milk' in a tasty method, which makes mothers happy as well.","Britannia
Biscuits
Milk Bikis
Milk 
Sandwich
","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","10.0000","0","1","2016-02-11 07:54:38","5.0000","0","0","1","0","1","0.0000","1","0","0","0","1","Britannia Biscuits - Milk Bikis Milk Sandwich, 100 gm Pouch","0","simple","",""
